experiment_datetime,experiment_name,comments,params.n_models,other.n_features,other.n_splits,scores.auc_mean,scores.auc_std,scores.kaggle
2020-01-15_18-07-32,LGB_0,,0.0,184.0,4.0,0.9052314703618396,0.0,0.9020299999999999
2020-01-15_18-22-11,LGB_0,,0.0,184.0,4.0,0.9049128603578344,0.00258116018457841,0.90556
2020-01-15_18-26-53,LGB_0,,0.0,189.0,4.0,0.9052018102753241,0.002261974053916569,
2020-01-15_18-35-08,LGB_0,,0.0,193.0,4.0,0.9054453968880692,0.002443505909069573,
2020-01-15_18-39-03,LGB_0,,0.0,213.0,4.0,0.9055662118342414,0.002419634943167929,0.9065200000000001
2020-01-16_01-35-18,LGB_0,,0.0,255.0,4.0,0.9067001136879016,0.0026694001618732172,
2020-01-16_01-44-04,LGB_0,,0.0,304.0,4.0,0.9065252033009444,0.0025836442076653623,
2020-01-16_01-56-25,LGB_0,,0.0,304.0,4.0,0.9069504006151301,0.0024698321118714235,0.91017
2020-01-16_23-47-56,LGB_0,,0.0,305.0,4.0,0.9068904992590224,0.002501109657162513,
2020-01-16_23-51-50,LGB_0,,0.0,306.0,4.0,0.9071509678100338,0.0021555903739312768,
2020-01-17_00-12-59,LGB_0,,0.0,309.0,4.0,0.9073321759232298,0.002530895270157677,0.9105
2020-01-17_14-51-50,LGB_0,,0.0,304.0,4.0,0.907004522950154,0.002744799736519373,
2020-01-17_16-12-27,LGB_0,,0.0,310.0,4.0,0.9076701677734448,0.0023507434168881466,
2020-01-17_16-28-11,LGB_0,,0.0,282.0,4.0,0.908341695655478,0.0027577808472098084,0.9113700000000001
2020-01-17_17-00-17,LGB_0,,0.0,283.0,4.0,0.907611244036428,0.002802878162673743,
2020-01-17_17-24-16,LGB_0,,0.0,282.0,4.0,0.9078122406300536,0.002935175761502776,
2020-01-17_17-36-23,LGB_0,,0.0,286.0,4.0,0.908088365954232,0.0026521832981988487,
2020-01-17_18-32-00,LGB_0,,0.0,284.0,4.0,0.9079702997129626,0.0027382533759618523,
2020-01-18_00-47-58,LGB_0,,0.0,282.0,4.0,0.90835,,0.91075
2020-01-18_02-04-52,LGB_0,,0.0,282.0,4.0,0.9088401558096132,0.002565587294810105,0.91132
2020-01-20_13-26-21,LGB_0,,0.0,284.0,4.0,0.9072918649624075,0.002788244075335704,
2020-01-20_13-32-10,LGB_0,,0.0,422.0,4.0,0.9077093782469722,0.002440178650292476,
2020-01-20_14-01-30,Exp0,,0.0,282.0,4.0,0.9074013899508372,0.0027257580012714786,
2020-01-20_14-07-19,Exp0,,0.0,280.0,4.0,0.907891996719432,0.0034439282278814565,
2020-01-20_14-15-06,Exp0,,0.0,281.0,4.0,0.9082227178080086,0.002718061891232839,
2020-01-20_14-20-45,Exp0,,0.0,282.0,4.0,0.9079563140481092,0.0024379774227521822,
2020-01-20_14-46-14,Exp0,,0.0,293.0,4.0,0.9073534807023478,0.0021198952259555786,
2020-01-20_14-49-17,Exp0,,0.0,269.0,4.0,0.9076551444378658,0.002074126212311168,
2020-01-20_15-12-22,Exp0,,0.0,281.0,4.0,0.906116926420854,0.002424579700427386,
2020-01-20_15-15-23,Exp0,,0.0,281.0,4.0,0.906975960032686,0.002476006823880303,
2020-01-20_15-32-55,Exp0,,0.0,281.0,4.0,0.9075179238079936,0.0026371771256274205,
2020-01-20_15-43-05,Exp0,,0.0,293.0,4.0,0.9076890872594284,0.002000734873577961,0.91069
2020-01-20_16-27-05,Exp0,,0.0,281.0,4.0,0.9077479447919754,0.002367047286818616,
2020-01-20_16-51-03,Exp0,,0.0,309.0,4.0,0.9082550981071352,0.002491911146922743,
2020-01-20_17-05-59,Exp0,,0.0,325.0,4.0,0.9082400319293586,0.0028557343033374684,
2020-01-20_18-28-20,Exp0,,0.0,559.0,4.0,0.9048743730265276,0.002053195057024032,0.91058
2020-01-21_14-14-01,Exp0,,0.0,282.0,4.0,0.9077533747554682,0.0024469886109376275,
2020-01-21_16-10-43,Exp0,,0.0,247.0,4.0,0.9076067374541176,0.002602329153611864,
2020-01-21_16-18-31,Exp0,,0.0,275.0,4.0,0.907907108989638,0.002307130577854118,
2020-01-21_16-43-50,Exp0,,0.0,288.0,4.0,0.9077759918936088,0.002486635056988243,
2020-01-21_16-48-20,Exp0,,0.0,296.0,4.0,0.9077049985814116,0.002962851488379497,
2020-01-21_16-53-42,Exp0,,0.0,298.0,4.0,0.9050635139894132,0.0025293544659507816,
